alpha,l1_ratio,n_selected,selected_features,screening_mse
1.0,0.7,10,d_pm25_lag0 | d_pm25_lag1 | d_pm25_lag2 | d_gov_health_exp_pct_gdp_lag0 | d_gov_health_exp_pct_gdp_lag1 | d_gov_health_exp_pct_gdp_lag2 | d_household_pm_lag1 | d_household_pm_lag2 | d_ageing_65_plus_lag1 | trend,754.7086376638325
1.0,0.5,9,d_pm25_lag0 | d_pm25_lag1 | d_pm25_lag2 | d_gov_health_exp_pct_gdp_lag0 | d_gov_health_exp_pct_gdp_lag1 | d_gov_health_exp_pct_gdp_lag2 | d_household_pm_lag1 | d_household_pm_lag2 | trend,816.6966921062822
1.0,0.3,9,d_pm25_lag0 | d_pm25_lag1 | d_pm25_lag2 | d_gov_health_exp_pct_gdp_lag0 | d_gov_health_exp_pct_gdp_lag1 | d_gov_health_exp_pct_gdp_lag2 | d_household_pm_lag1 | d_household_pm_lag2 | trend,868.9534164976419
1.0,0.1,9,d_pm25_lag0 | d_pm25_lag1 | d_pm25_lag2 | d_gov_health_exp_pct_gdp_lag1 | d_gov_health_exp_pct_gdp_lag2 | d_household_pm_lag1 | d_household_pm_lag2 | d_ageing_65_plus_lag1 | trend,914.8170975310819
10.0,1.0,2,d_household_pm_lag1 | trend,984.4128494718216
10.0,0.9,3,d_household_pm_lag1 | d_household_pm_lag2 | trend,1240.9122998591706
10.0,0.7,3,d_household_pm_lag1 | d_household_pm_lag2 | trend,1420.8709124421755
10.0,0.5,4,d_pm25_lag0 | d_household_pm_lag1 | d_household_pm_lag2 | trend,1502.238796133122
10.0,0.3,7,d_pm25_lag0 | d_pm25_lag1 | d_gov_health_exp_pct_gdp_lag0 | d_gov_health_exp_pct_gdp_lag2 | d_household_pm_lag1 | d_household_pm_lag2 | trend,1545.7520686113935
10.0,0.1,9,d_pm25_lag0 | d_pm25_lag1 | d_pm25_lag2 | d_gov_health_exp_pct_gdp_lag0 | d_gov_health_exp_pct_gdp_lag1 | d_gov_health_exp_pct_gdp_lag2 | d_household_pm_lag1 | d_household_pm_lag2 | trend,1570.9793397877918
