variable,coefficient,std_error,t_value,p_value,ci_lower,ci_upper
const,-783.6800490110802,243.4111390095596,-3.219573484598428,0.004112319798536312,-1289.881223656294,-277.4788743658663
crd_daly_rate.L1,-0.29517882440713417,0.08967666477906525,-3.291590126978527,0.0034774290031200673,-0.48167165803068135,-0.10868599078358701
household_pm.L1,10.787399117309354,2.5173488755809137,4.285222132677184,0.00032849940079203015,5.552285543641629,16.02251269097708
trend.L1,120.7695673889913,31.02054793724582,3.893211932726225,0.0008383976800877611,56.25880642765624,185.28032835032639
ageing_65_plus.L1,-149.1896749391944,48.97897284551026,-3.0459943578190023,0.0061399203618498505,-251.0470249692586,-47.33232490913018
pm25.L1,-1.1997041178807528,3.5941221991151284,-0.33379614031379334,0.7418436034758694,-8.674090402803667,6.274682167042162
D.crd_daly_rate.L1,0.08589857463404307,0.2347383966064391,0.3659332085242964,0.718075392694732,-0.40226664483788466,0.5740637941059707
D.household_pm.L0,27.404548042068928,9.8184028423127,2.791141133868353,0.010944799495440173,6.986061558081836,47.82303452605602
D.trend.L0,-783.6800490110882,243.41113900956242,-3.2195734845984236,0.00411231979853635,-1289.8812236563078,-277.4788743658684
D.ageing_65_plus.L0,-533.019488999884,209.12794143549033,-2.548772226901609,0.01869352419871995,-967.924851328529,-98.11412667123892
D.pm25.L0,-2.603173489432094,2.917566688765313,-0.8922412980159615,0.38237393621762833,-8.670585568304732,3.4642385894405443
