d_pm25_lag0,d_pm25_lag1,d_pm25_lag2,d_ozone_lag0,d_ozone_lag1,d_ozone_lag2,d_household_pm_lag0,d_household_pm_lag1,d_household_pm_lag2,d_ageing_65_plus_lag0,d_ageing_65_plus_lag1,d_ageing_65_plus_lag2,d_gov_health_exp_pct_gdp_lag0,d_gov_health_exp_pct_gdp_lag1,d_gov_health_exp_pct_gdp_lag2,trend
0.26105658268596876,0.20723038938330202,-0.02675329690403939,0.09674196062283634,0.4165180207780044,-0.2001386208806853,1.0046965510151455,1.5118021169627058,1.8599093380838132,-0.7544127190928612,-0.9193250662161682,-1.038696594431183,0.05342092012973455,-1.0987968133489616,-1.0447491944337217,-1.671258043593467
0.2610565826859721,0.20723038938329857,0.18936376939807326,0.5364644714432573,0.06758203247396713,0.40982356010634624,0.6051273055556959,1.0671807394162731,1.5001617527592515,-0.6889969906777463,-0.7061363523913514,-0.8880439276570586,0.05342092012942976,0.0767965355074856,-1.0447491944337217,-1.5474611514754324
-0.1513219798716339,0.20723038938330202,0.1893637693980698,0.2064815057272918,0.5070004520726143,0.06007686307650974,0.21471192375510756,0.6516768398303978,1.0580524382145016,-0.6232403356505705,-0.6332262668911947,-0.6487497833578543,0.05342092012942976,0.07679653550718658,0.10751165854165723,-1.4236642593573978
0.673435145243575,-0.22270160137488487,0.18936376939807326,0.3218372949190126,0.17724568691663808,0.5005162159092924,0.014479523902238275,0.24569185615147834,0.644896091008956,-0.5920916259258605,-0.55993619649999,-0.5669116963056546,0.05342092012942976,0.07679653550718658,0.10751165854136414,-1.2998673672393632
0.2610565826859721,0.6371623801414855,-0.24287036809902224,0.6205401804750413,0.2925217015186784,0.1699953071784297,0.050555328474360554,0.037474272071302356,0.24120487885844685,-0.5623193776122207,-0.5252189328652185,-0.48464709437037984,0.05342092012942976,0.07679653550718658,0.10751165854136414,-1.1760704751213287
0.2610565826859721,0.20723038938330202,0.6215979068951654,-0.21844772782499056,0.5910180183337832,0.285539151050152,0.3457999130286804,0.07498876461734087,0.03416370175211901,-0.3720844925682199,-0.49203582503059234,-0.4456786248635035,0.05342092012942976,0.07679653550718658,0.10751165854136414,-1.052273583003294
0.26105658268596876,0.20723038938330202,0.18936376939807326,0.6779428165349444,-0.24738968574242506,0.5847289863808938,0.3484106912623802,0.38200757952355796,0.07146624144678576,-0.3007895637195135,-0.2800066682862982,-0.4084321719344801,0.05342092012973455,0.07679653550718658,0.10751165854136414,-0.9284766908852594
0.4672458616307223,0.20723038938329857,0.18936376939807326,-0.4220940850251286,0.6483809574545873,-0.2556266521711348,0.19882260876305277,0.3847224744995435,0.37675043304271033,-0.3641090843708465,-0.2005438313810732,-0.17043957505010637,0.6948092827576633,0.0767965355074856,0.10751165854136414,-0.8046797987672248
0.34044320249478643,0.4221963823289906,0.1893637693980698,0.18932724485819058,-0.4508952107858122,0.6422252010503414,0.07118701118800103,0.2291688819336914,0.37944998915383904,-0.4150247233261668,-0.27111755694171236,-0.0812463376611505,-1.3243106446618294,0.7060322458612185,0.10751165854165723,-0.6808829066491903
0.3571391907983182,0.2899962035960596,0.40548083570018595,-0.07962396177797425,0.16010328912031108,-0.45960499661530346,-0.1576021470788844,0.09644323019483762,0.22477525766934087,-0.4733621446259598,-0.32786634931119024,-0.16046197232142284,0.30524726233026567,-1.2748305758675944,0.7242586629714148,-0.5570860145311557
-0.025327920641913443,0.30740287828955826,0.2725727677733934,0.6747639091701951,-0.10866192362422672,0.15281308118455234,-0.3539098907717784,-0.14146994386226924,0.09279949159938432,-0.5477747299843164,-0.39288720099131597,-0.22415978008260765,0.3418249883507267,0.32385141918372007,-1.217289140793144,-0.43328912241312106
