variable,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
d_crd_daly_rate,28.0,-45.44861317675046,43.99970311020323,-150.70617003087295,-87.22842198739232,-36.158306862564814,-16.968420274852406,32.81432734755754,-0.3694487324474704,-0.4214456239472164
d_pm25_lag0,28.0,-0.33490392357142873,2.181506276410198,-4.585349179999994,-1.1853399550000017,0.2243306099999955,0.6894905075000022,3.814168549999998,-0.1823616520371914,0.02463806719584616
d_pm25_lag1,28.0,-0.20147276071428574,2.092438901534108,-4.585349179999994,-1.0303692324999982,0.22433060999999904,0.6894905075000022,3.814168549999998,-0.27261508681626684,0.444173037923679
d_pm25_lag2,28.0,-0.16268923928571413,2.081294244100463,-4.585349179999994,-0.742253934999999,0.22433060999999904,0.6894905075000022,3.814168549999998,-0.33131042996779325,0.5488190982264793
d_ozone_lag0,28.0,0.042921208571428594,1.49085168988365,-4.136029810000004,-0.6149523249999991,0.3326506999999985,1.0319304699999972,2.3969672199999934,-0.8570167675983558,0.9303537949767993
d_ozone_lag1,28.0,0.08554250392857148,1.4918834056507637,-4.136029810000004,-0.6149523249999991,0.42964721499999925,1.0319304699999972,2.3969672199999934,-0.9423257210287356,1.0381795998369148
d_ozone_lag2,28.0,0.09674159250000004,1.4884252374818936,-4.136029810000004,-0.6149523249999991,0.42964721499999925,1.0319304699999972,2.3969672199999934,-0.9709409508406116,1.1115911800912501
d_household_pm_lag0,28.0,-8.422076343214286,2.522239704653045,-12.988842750000003,-10.306435251250008,-8.271311224999991,-6.886237076249996,-3.379629935000004,0.04108819541967414,-0.6076498394618257
d_household_pm_lag1,28.0,-8.475470002678572,2.4255113289202495,-12.988842750000003,-10.306435251250008,-8.271311224999991,-6.886237076249996,-4.220773124999994,-0.11625655303376219,-0.8088906802919449
d_household_pm_lag2,28.0,-8.468047221428572,2.4392930726408433,-12.988842750000003,-10.306435251250008,-8.271311224999991,-6.886237076249996,-4.012935249999998,-0.09157068281744671,-0.7749258149775762
d_ageing_65_plus_lag0,28.0,0.2524507021617075,0.1384128274773755,0.1427666464838903,0.16217019537430197,0.19207650879042498,0.27778259120974175,0.5838716361395004,1.4282988009123383,0.6154947852037798
d_ageing_65_plus_lag1,28.0,0.2360236445857971,0.12418550697500819,0.1239140240140095,0.1587830433712167,0.18305490473351985,0.2392915414938472,0.5451567674694999,1.6051669851413384,1.3372325757733172
d_ageing_65_plus_lag2,28.0,0.22039470679001644,0.11063767809788748,0.1075465091876406,0.15844820935199894,0.17700942907439948,0.21618411700429463,0.5352485408172001,1.7970069384329312,2.390751453729714
d_gov_health_exp_pct_gdp_lag0,28.0,0.10665546682655887,0.09486836014084032,-0.08367681,0.045978452499999926,0.1116320999304321,0.13594384500000006,0.4044272900000001,1.0488142763431978,3.060838763970385
d_gov_health_exp_pct_gdp_lag1,28.0,0.10433964754084457,0.09670058640143621,-0.08367681,0.04535626749999995,0.1116320999304321,0.13594384500000006,0.4044272900000001,1.0174152060729362,2.7631305274062745
d_gov_health_exp_pct_gdp_lag2,28.0,0.10121627075513029,0.09865870728012635,-0.08367681,0.04359042499999982,0.1116320999304321,0.13594384500000006,0.4044272900000001,1.0133662375709116,2.4901290418054236
trend,28.0,17.5,8.225975119502044,4.0,10.75,17.5,24.25,31.0,0.0,-1.1999999999999997
