Country Name,Country Code,Series Name,Series Code,1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
China,CHN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.3,41.6,42.8,44.1,45.7,47.4,49.1,51.2,53.2,55.3,57.9,60.3,63.1,65.9,69,71.6,74.2,76.9,79.5,81.6,83.8,85.6,87.2,88.7,..,..
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,165.680987722637,185.728620718294,156.655616850835,184.285853059043,195.149479992051,197.425510967822,203.722788366928,225.86534696156,251.192686463827,295.007445815897,282.445603096707,252.256760114454,284.023573149686,311.429461227032,318.50335359039,334.130288119078,367.822651903542,378.939353053314,475.677874448369,612.680277898627,713.337387811657,786.743548510999,835.095348597432,881.146614068925,969.199513696287,1065.40597574519,1163.55957673426,1306.97245408557,1530.92726215723,1777.64496828464,2129.25696999613,2734.72709877693,3523.44302065213,3898.24459158811,4629.24551710077,5703.76027973346,6405.0574241349,7147.03518622344,7781.06597484974,8175.33285077393,8254.86859320357,8979.67652709856,10085.6638148819,10342.9009524335,10627.4637989619,12887.4357242941,12970.6056414327,12951.1782397043,13303.1481543868,..
China,CHN,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,4.01662466748493,4.08642511296089,4.17896904944826,4.2891896442557,4.3953023207225,4.49084566617775,4.57769456456058,4.66048850661668,4.7487792968895,4.84681406443726,4.94424641543884,5.0311044766934,5.12239133520937,5.23250379248157,5.34515741412924,5.45270392331688,5.57661794733089,5.72652985467844,5.88533298268521,6.05307366965255,6.22504804870163,6.4010690329891,6.60294649523664,6.8145142714138,7.01747574076251,7.21351682273765,7.40162875834336,7.57962663220469,7.73725110121901,7.88962840533466,8.05386346846253,8.21258625792709,8.35535290441098,8.49817888668038,8.66147143784386,8.85916872860311,9.08920186808881,9.3562686156071,9.6661987378912,10.053420914992,10.4907994645602,10.9809606634325,11.5162092042497,12.0613659717192,12.6452376078587,13.2057410345267,13.781930345649,14.3160774690688,14.665268836569,..
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated: 02/24/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
