population_group_id,population_group_name,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1992,0.11837090729065362,0.21788374718930645,0.058589326318787306
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,520,Other chronic respiratory diseases,3,Rate,1992,0.2403054211026816,0.4019258002195551,0.13644626892712408
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1992,178.42238915302514,242.96202339294032,121.89053028907551
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1992,70.16385924274394,103.55321615760907,39.5698376726734
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1992,114.47182022678224,148.44543103864908,76.75348732562014
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1992,172.84480573288062,235.57635121696242,116.21293243279126
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1992,68.84602339363177,101.58634094173152,38.56515784559316
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,509,Chronic obstructive pulmonary disease,3,Rate,1992,111.31536431484223,144.3547858183864,74.56786787044103
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,510,Pneumoconiosis,3,Rate,1992,0.9962057477459825,2.3422789528446937,0.37003436800139766
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,510,Pneumoconiosis,3,Rate,1992,0.020595063966822605,0.04505544842582166,0.008612304271438664
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,510,Pneumoconiosis,3,Rate,1992,0.46018646705895744,1.0844567409527799,0.18047901050557805
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,515,Asthma,3,Rate,1992,3.892848669008668,7.163913801992931,1.3559695151210074
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,515,Asthma,3,Rate,1992,1.0936389177663175,2.2781655701487518,0.3985762800717757
1,All Population,1,Deaths,6,China,3,Both,27,Age-standardized,515,Asthma,3,Rate,1992,2.2719951814810266,3.7930690750671423,1.0818590316184868
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1992,0.3200714337841883,0.6704067647265599,0.1622376401501083
1,All Population,1,Deaths,6,China,2,Female,27,Age-standardized,516,Interstitial lung disease and pulmonary sarcoidosis,3,Rate,1992,0.08523096008838714,0.15586023000170357,0.041123233947406926
1,All Population,1,Deaths,6,China,1,Male,27,Age-standardized,508,Chronic respiratory diseases,3,Rate,1993,174.9566931152597,237.06871150661974,120.11279730813074
