model,n_forecasts,mean_error,mae,rmse,mape_percent,directional_accuracy_percent,mean_n_selected
random_forest,28,-2.1090452945363887,22.791172764798176,27.752482165625647,441.0554749005955,78.57142857142857,5.0
backward_elimination,28,-2.4095811282982695,23.47682847352699,29.180126230016796,461.08908117678567,82.14285714285714,4.0
elastic_net,28,-1.2287743413914758,25.477734737466356,32.59795848717712,371.5181717924347,82.14285714285714,7.464285714285714
vif_filtering,28,-2.352561636265392,29.603896829208534,35.62705435156643,414.0058335972117,75.0,8.0
