variable,coefficient,std_error,t_value,p_value
const,6.0617173160095135,52.79748226297832,0.11481072687930044,0.909636576571082
d_household_pm_lag2,-28.835387015534003,9.728952883708336,-2.9638736419230107,0.007169503122222329
trend,-8.48970738961679,2.1804337018244597,-3.89358657523643,0.0007815500567808099
d_household_pm_lag1,26.997372304319683,9.442654190822813,2.8590872607151137,0.009121279422495748
d_ageing_65_plus_lag1,344.074875458822,164.5685865420431,2.0907688562477844,0.04831606395284997
d_pm25_lag0,-1.4503948620696496,2.93759672137027,-0.4937351854726673,0.6263864686044108
