outer_test_year,candidate_path,inner_selection_metric,inner_cv_score,inner_n_forecasts,inner_mean_n_selected
2009,random_forest,mae,22.940433771553128,27,5.0
2009,vif_filtering,mae,32.281900108538906,27,8.0
2010,elastic_net,mae,25.818384762032245,27,6.777777777777778
2010,backward_elimination,mae,24.263222901789725,27,4.0
2010,random_forest,mae,23.710252951377395,27,5.0
2010,vif_filtering,mae,31.37872271009255,27,8.0
2011,elastic_net,mae,25.443629460953364,27,4.407407407407407
2011,backward_elimination,mae,23.374100697263636,27,3.962962962962963
2011,random_forest,mae,23.29407362346758,27,5.0
2011,vif_filtering,mae,30.357716758450774,27,8.0
2012,elastic_net,mae,25.285044250314506,27,2.962962962962963
2012,backward_elimination,mae,23.583678815932604,27,4.0
2012,random_forest,mae,22.379383465909328,27,5.0
2012,vif_filtering,mae,31.993539352031494,27,8.0
2013,elastic_net,mae,25.190062022492217,27,5.333333333333333
2013,backward_elimination,mae,25.120638868682885,27,4.111111111111111
2013,random_forest,mae,23.84798593651527,27,5.0
2013,vif_filtering,mae,33.55970752051405,27,8.0
2014,elastic_net,mae,23.650224652456945,27,6.2592592592592595
2014,backward_elimination,mae,28.405692779345458,27,4.37037037037037
2014,random_forest,mae,23.558249819615597,27,5.0
2014,vif_filtering,mae,29.241895920872206,27,8.0
2015,elastic_net,mae,23.691020782696814,27,6.7407407407407405
2015,backward_elimination,mae,25.88214555130158,27,4.037037037037037
2015,random_forest,mae,23.759950903237883,27,5.0
2015,vif_filtering,mae,29.28535412683147,27,8.0
2016,elastic_net,mae,22.69365996711568,27,6.148148148148148
2016,backward_elimination,mae,23.795207548728083,27,4.0
2016,random_forest,mae,23.857841239905788,27,5.0
2016,vif_filtering,mae,31.799106787450842,27,8.0
2017,elastic_net,mae,22.785620187644955,27,6.407407407407407
2017,backward_elimination,mae,24.032649241787706,27,4.0
2017,random_forest,mae,23.159231343043782,27,5.0
2017,vif_filtering,mae,30.548736713904393,27,8.0
2018,elastic_net,mae,22.614842701015302,27,5.962962962962963
2018,backward_elimination,mae,26.32753009126504,27,4.185185185185185
2018,random_forest,mae,23.873056913304776,27,5.0
2018,vif_filtering,mae,30.340077541230542,27,8.0
2019,elastic_net,mae,24.645661655351912,27,6.37037037037037
2019,backward_elimination,mae,25.931295824082692,27,4.037037037037037
2019,random_forest,mae,24.00368889209881,27,5.0
2019,vif_filtering,mae,30.128640933252747,27,8.0
2020,elastic_net,mae,22.508302553998856,27,6.592592592592593
2020,backward_elimination,mae,25.223762533427557,27,4.074074074074074
2020,random_forest,mae,22.231521187672936,27,5.0
2020,vif_filtering,mae,27.563318995595885,27,8.0
