year,crd_daly_rate,pm25,ozone,household_pm,ageing_65_plus,gov_health_exp_pct_gdp,gov_health_exp_pct_gdp_observed,gov_health_exp_pct_gdp_imputed,trend,d_crd_daly_rate,d_pm25_lag0,d_ozone_lag0,d_household_pm_lag0,d_ageing_65_plus_lag0,d_gov_health_exp_pct_gdp_lag0,d_pm25_lag1,d_pm25_lag2,d_ozone_lag1,d_ozone_lag2,d_household_pm_lag1,d_household_pm_lag2,d_ageing_65_plus_lag1,d_ageing_65_plus_lag2,d_gov_health_exp_pct_gdp_lag1,d_gov_health_exp_pct_gdp_lag2
1993,2158.897741202029,43.29234525,47.41106915,268.05864295,5.72652985467844,0.13751275878681213,,True,4,-17.86153650299184,0.22433060999999554,0.1845502100000047,-5.933653750000019,0.14991190734755033,0.11163209993046053,0.22433061000000265,-0.21736736999999806,0.6957415799999964,-0.19578192999999544,-4.874652400000002,-4.012935249999998,0.12391402401400953,0.10754650918764064,0.0,0.0
1994,2137.860682259029,43.51667586,48.23936753,261.13534,5.88533298268521,0.24914485871724423,,True,5,-21.03705894299992,0.22433061000000265,0.8282983799999997,-6.923302949999993,0.15880312800676943,0.1116320999304321,0.22433060999999554,0.22433061000000265,0.1845502100000047,0.6957415799999964,-5.933653750000019,-4.874652400000002,0.14991190734755033,0.12391402401400953,0.11163209993046053,0.0
1995,2117.8216601914687,42.8576105,48.58457504,253.24506005,6.05307366965255,0.36077695864767634,,True,6,-20.03902206756038,-0.6590653599999996,0.3452075099999945,-7.890279949999979,0.16774068696734012,0.1116320999304321,0.22433061000000265,0.22433060999999554,0.8282983799999997,0.1845502100000047,-6.923302949999993,-5.933653750000019,0.15880312800676943,0.14991190734755033,0.1116320999304321,0.11163209993046053
1996,2098.603700038781,43.96533708,49.09866196,244.85884645,6.22504804870163,0.47240905857810844,,True,7,-19.217960152687738,1.1077265799999978,0.514086920000004,-8.38621360000002,0.17197437904908064,0.1116320999304321,-0.6590653599999996,0.22433061000000265,0.3452075099999945,0.8282983799999997,-7.890279949999979,-6.923302949999993,0.16774068696734012,0.15880312800676943,0.1116320999304321,0.1116320999304321
1997,2082.053780952703,44.18966769,50.05004611,236.56198505,6.4010690329891,0.5840411585085405,,True,8,-16.549919086077807,0.22433061000000265,0.9513841499999955,-8.296861399999983,0.1760209842874696,0.1116320999304321,1.1077265799999978,-0.6590653599999996,0.514086920000004,0.3452075099999945,-8.38621360000002,-7.890279949999979,0.17197437904908064,0.16774068696734012,0.1116320999304321,0.1116320999304321
1998,2079.662461871595,44.4139983,49.77316262,228.99638255000002,6.60294649523664,0.6956732584389727,,True,9,-2.391319081108122,0.22433061000000265,-0.2768834899999959,-7.565602499999983,0.20187746224754033,0.1116320999304321,0.22433061000000265,1.1077265799999978,0.9513841499999955,0.514086920000004,-8.296861399999983,-8.38621360000002,0.1760209842874696,0.17197437904908064,0.1116320999304321,0.1116320999304321
1999,2087.1313120098,44.63832891,50.8085835,221.4372464,6.8145142714138,0.8073053583694332,,True,10,7.468850138204743,0.22433060999999554,1.0354208799999967,-7.559136150000029,0.2115677761771595,0.11163209993046053,0.22433061000000265,0.22433061000000265,-0.2768834899999959,0.9513841499999955,-7.565602499999983,-8.296861399999983,0.20187746224754033,0.1760209842874696,0.1116320999304321,0.1116320999304321
2000,2119.9456393573573,45.3043575,50.23356433,213.50761195,7.01747574076251,0.97868848,0.97868848,False,11,32.81432734755754,0.6660285900000034,-0.5750191699999974,-7.9296344499999805,0.2029614693487103,0.1713831216305668,0.22433060999999554,0.22433061000000265,1.0354208799999967,-0.2768834899999959,-7.559136150000029,-7.565602499999983,0.2115677761771595,0.20187746224754033,0.11163209993046053,0.1116320999304321
2001,2135.6642209680545,45.69874986,50.55365822,205.2618509,7.21351682273765,0.96197265,0.96197265,False,12,15.718581610697129,0.39439235999999767,0.32009389000000255,-8.245761049999999,0.1960410819751397,-0.016715829999999987,0.6660285900000034,0.22433060999999554,-0.5750191699999974,1.0354208799999967,-7.9296344499999805,-7.559136150000029,0.2029614693487103,0.2115677761771595,0.1713831216305668,0.11163209993046053
2002,2135.250642929396,46.12890831,50.48001096,196.44942709999998,7.40162875834336,1.09706461,1.09706461,False,13,-0.41357803865867027,0.4301584500000004,-0.07364726000000132,-8.812423800000033,0.18811193560571038,0.13509196000000012,0.39439235999999767,0.6660285900000034,0.32009389000000255,-0.5750191699999974,-8.245761049999999,-7.9296344499999805,0.1960410819751397,0.2029614693487103,-0.016715829999999987,0.1713831216305668
